car_class,price_change,from_day,to_day,pick_up_month
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,October
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,October
A-Mini Manual-MDMR (Citroen C1),10,5,5,November
B-Economy Manual-ECMR (Mazda2),10,5,5,November
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,November
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,November
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,November
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,November
A-Mini Manual-MDMR (Citroen C1),10,5,5,December
B-Economy Manual-ECMR (Mazda2),10,5,5,December
C-Compact Manual-CDMR (Nissan Tiida),10,5,5,December
N-MINI+Automatic-MDAR (Chevrolet Spark),10,5,5,December
H-Economy Automatic-EDAR (Nissan Micra),10,5,5,December
F-Compact Automatic-CDAR (Nissan Tiida),10,5,5,December
A-Mini Manual-MDMR (Citroen C1),5,6,6,January
B-Economy Manual-ECMR (Mazda2),5,6,6,January
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,January
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,January
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,January
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,January
A-Mini Manual-MDMR (Citroen C1),5,6,6,February
B-Economy Manual-ECMR (Mazda2),5,6,6,February
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,February
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,February
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,February
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,February
A-Mini Manual-MDMR (Citroen C1),5,6,6,March
B-Economy Manual-ECMR (Mazda2),5,6,6,March
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,March
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,March
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,March
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,March
A-Mini Manual-MDMR (Citroen C1),5,6,6,April
B-Economy Manual-ECMR (Mazda2),5,6,6,April
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,April
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,April
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,April
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,April
A-Mini Manual-MDMR (Citroen C1),5,6,6,May
B-Economy Manual-ECMR (Mazda2),5,6,6,May
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,May
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,May
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,May
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,May
A-Mini Manual-MDMR (Citroen C1),5,6,6,June
B-Economy Manual-ECMR (Mazda2),5,6,6,June
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,June
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,June
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,June
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,June
A-Mini Manual-MDMR (Citroen C1),5,6,6,July
B-Economy Manual-ECMR (Mazda2),5,6,6,July
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,July
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,July
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,July
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,July
A-Mini Manual-MDMR (Citroen C1),5,6,6,August
B-Economy Manual-ECMR (Mazda2),5,6,6,August
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,August
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,August
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,August
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,August
A-Mini Manual-MDMR (Citroen C1),5,6,6,September
B-Economy Manual-ECMR (Mazda2),5,6,6,September
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,September
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,September
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,September
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,September
A-Mini Manual-MDMR (Citroen C1),5,6,6,October
B-Economy Manual-ECMR (Mazda2),5,6,6,October
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,October
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,October
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,October
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,October
A-Mini Manual-MDMR (Citroen C1),5,6,6,November
B-Economy Manual-ECMR (Mazda2),5,6,6,November
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,November
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,November
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,November
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,November
A-Mini Manual-MDMR (Citroen C1),5,6,6,December
B-Economy Manual-ECMR (Mazda2),5,6,6,December
C-Compact Manual-CDMR (Nissan Tiida),5,6,6,December
N-MINI+Automatic-MDAR (Chevrolet Spark),5,6,6,December
H-Economy Automatic-EDAR (Nissan Micra),5,6,6,December
F-Compact Automatic-CDAR (Nissan Tiida),5,6,6,December
A-Mini Manual-MDMR (Citroen C1),0,7,7,January
B-Economy Manual-ECMR (Mazda2),0,7,7,January
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,January
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,January
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,January
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,January
A-Mini Manual-MDMR (Citroen C1),0,7,7,February
B-Economy Manual-ECMR (Mazda2),0,7,7,February
C-Compact Manual-CDMR (Nissan Tiida),0,7,7,February
N-MINI+Automatic-MDAR (Chevrolet Spark),0,7,7,February
H-Economy Automatic-EDAR (Nissan Micra),0,7,7,February
F-Compact Automatic-CDAR (Nissan Tiida),0,7,7,February
A-Mini Manual-MDMR (Citroen C1),0,7,7,March
B-Economy Manual-ECMR (Mazda2),0,7,7,March
